show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s2345,TV Show,Girl/Girl Scene,,"Tucky Williams, Kayden Kross, Lauren Virginia Abert, Katie Stewart, Roni Jonah, Cyndy Allen, Joe Gatton",,,2017,18+,2 Seasons,"Comedy, Drama, LGBTQ","Girl/Girl Scene is the sexy, award-winning lesbian drama series that shocked the world with its provocative vision of life as a modern gay girl. Follow bad-girl Evan, escort Avery, Southern belle Maxine, stoner Bender and teenage runaway Ling as they navigate their passionate and intertwining love lives."
s8590,Movie,When I'm 64,Jon Jones,"Alun Armstrong, Paul Freeman, Tamsin Greig",,,2004,16+,88 min,"Drama, LGBTQ, Romance","When widowed cabbie Ray and retired teacher Jim meet by chance, they discover they long for the same things from life: adventure, challenge and love. Together Ray and Jim discover that being 64 means a new beginning: it's time to try the things they never dared in their youth."
s4272,Movie,The Evening Star,Robert Harling,"Juliette Lewis, Shirley MacLaine, Jack Nicholson, Bill Paxton",,,1996,PG-13,129 min,"Comedy, Drama","Still missing her daughter 13 years after her death in ""Terms of Endearment,"" Aurora Greenway (Shirley MacLaine) struggles to keep her family together. She has one grandson in jail, a rebellious granddaughter, and another grandson living just above the poverty line."
s9090,Movie,Swimming for Gold,Hayley MacFarlane,"Peyton List, Daniel Needs",,,2020,UNRATED,91 min,"Comedy, Kids",A US women’s swim team Olympic hopeful suffers an injury that forces her to put aside her dreams and help the Australian men’s swim team get competition ready.
s1157,TV Show,Rick Steves' Europe,,Rick Steves,,,2018,TV-G,4 Seasons,"Documentary, Special Interest","Rick Steves' Europe is public television's most-watched, longest-running travel series. Written and hosted by best-selling guidebook author Rick Steves, each half-hour show takes viewers to Europe's most interesting places, from great cities to off-the-beaten-path discoveries."
s4865,Movie,The woman I lost,Roberto Rodríguez,"Pedro Infante, Blanca Estela Pavón, Manuel R. Ojeda, Eduardo Arozamena, Silvia Pinal, José Luis Jiménez",,,1949,16+,90 min,Drama,"In defense of his girlfriend Pedro kills the attorney's son. Because of this, helped by the Indians, he has to escape from the father of the deceased. In the persecution Pedro is wounded but healed by Maria, who also helps him escape from the feds."
s2232,Movie,Heidi,Alain Gsponer,"Anuk Steffen, Bruno Ganz, Anna Schinz",,,2017,7+,111 min,"Adventure, Drama, Kids","Based on the biggest Swiss bestseller of all time (written by Johanna Spyri), young orphan girl Heidi lives in the Swiss Alps with her goat herding grandfather. Forced to move into the home of an upper-class Frankfurt family, the energetic child struggles to fit in, longing for the simplicity of her life in the mountains."
s7723,Movie,Mia meets Morgenrot,Martin Pfeil,"Ana Dordevic, Guido Drell, Tom von der Isar, Frederik Lenke, Gordana Heyden, Giulio Avise Caselli",,,2020,16+,102 min,"Arthouse, Drama","Mia, a young, attractive woman and mother starts to question the meaning of life due to external circumstances. She tries to escape into the virtual world of chats, where she meets „Morgenrot"" for the first time. It is the beginning of a journey through the unknown, where feelings don't emerge through physical contact, but through words. However, Mia's husband discovers her secret."
s7986,Movie,Thy Neighbor,George A. Johnson,"Dave Payton, Jessica Koloian, Nathan Clarkson",,,2018,16+,94 min,"Drama, Suspense","A hotshot young author becomes the pastor of a small town church with big dreams of changing the world, but things change when he grows suspicious that his neighbor may be a threat to his family's safety."
s568,Movie,The Legend Of Ben Hall,Matthew Holmes,,,,2017,,140 min,"Action, Western","After two years on the run, bushranger Ben Hall considers surrendering to the law when his old friend John Gilbert entices him back into the game. Taking on fresh recruit John Dunn, the gang rides again, and before long they become the most wanted men in the country. When they are declared outlaws, the three decide to flee forever."
s4439,TV Show,Memories of Nanette,,,,,2016,7+,1 Season,"Animation, Kids","When 9-year-old Nanette arrives in the countryside for the first time to live with her Grandpa Archie, Granny Minnie and Aunt Susan, she discovers an environment very different from the city. But with a personality like hers and the help of her new friends Jack, Betty and Johnny, she will enjoy the countryside as an immense playground, in which every inch is to be explored."
s5193,TV Show,Arpo: The Robot for All Kids,,,,,2018,ALL,3 Seasons,"Animation, Kids","Arpo was designed as a commando robot, built as a fierce fighting machine. But, with world peace achieved Arpo has been re-equipped for caregiving, re-coded for cuddling, and officially reassigned as a nanny robot!"
s8616,TV Show,Tugged,,"Liam Gist, Zakiya Mathews, Ashley Mathaw, Chelley Chelle",,,2021,18+,1 Season,"Drama, Romance","Bree takes her first breath as a free woman as she is released from serving her sentence for credit card fraud after the 2020 Pandemic in Los Angeles. She took charges for her Boyfriend Shaun, who was late to pick her up. Once a Bonnie & Clyde kind of love, now, they fight and fuss at each other after losing everything, both of them are holding on to grudges and pain."
s8938,Movie,3 Pints and a Rabbi,Richard J. Perry,"Amanda Abbington, Michael Maloney, Jordan Stephens, Hannaj Bang Bendz",,,2021,18+,73 min,"Comedy, Science Fiction","When three dazed and confused strangers wake up in a pub to a dead woman lying on the table with three hefty chunks of flesh missing, they must figure out what happened to her in order to ensure they don't meet the same fate."
s3026,Movie,Blood On The Sun,Frank Lloyd,Peng Tien,,,1974,R,94 min,"Action, Drama","Based on a true story, James Cagney stars as an American reporter in pre-war Japan in this riveting, brutal, action-packed film tracing the unintended unveiling of the dreaded Tanaka Plan for Japanese world domination. Cagney, given a purloined copy of the plan, is pursued by a beautiful Japanese secret agent (Sylvia Sidney) sent to romance and ensnare him before he can get it to the American Embassy and into the world press."
s9377,Movie,Nootokka Jillala Andagadu,Rachakonda Vidyasagar,"Avasarala Srinivas, Ruhani Sharma",,,2021,ALL,119 min,"Comedy, Drama","Gotti Satyanarayana or GSN, a man with premature baldness is unmarried and works at a real estate company. There he meets the beautiful Anjali, and the sparks fly between the two. GSN keeps his baldness hidden from Anjali and the people around him. What happens once his secret gets out? Will Anjali still be with him? Forms the rest of the story."
s5647,Movie,The Lie,Veena Sud,"Joey King, Peter Sarsgaard, Mireille Enos",United States,,2020,16+,95 min,"Drama, Horror, Suspense","When their teenaged daughter confesses to impulsively killing her best friend, two desperate parents cover up the horrific crime with a web of lies and deception."
s7424,Movie,Answers to Nothing,Matthew Leutwyler,"Miranda Bailey, Julie Benz, Dane Cook, Zach Gilford, Kali Hawk, Mark Kelly, Elizabeth Mitchell, Erik Palladino, Vincent Ventresca, Aja Volkman, Barbara Hershey",,,2011,R,124 min,"Drama, Suspense","Starring Dane Cook, Answers to Nothing tells the interweaving stories of several Los Angelenos trying to do the right thing against the backdrop of a missing girl case."
s7204,Movie,Indelible,Ryuichi Tsunoda,,,,2020,13+,74 min,Documentary,"A story of reunion between a father and a son who had lost touch for 18 years. A Chinese Korean boy emigrated to Japan when he was 10 years old, and when he turned 20, he looked for his father, a painter. However, his father was working as a day laborer in Korea and struggling with debts. Out of vanity, he tries to express his love for his child with money..."
s5022,Movie,Journey's End,Saul Dibb,"Sam Claflin, Asa Butterfield, Paul Bettany, Toby Jones, Tom Sturridge, Stephen Graham",,,2018,R,107 min,"Drama, Military and War","The Great War - March, 1918. C-company arrives to take its turn in the front-line trenches of northern France, led by war-weary Captain Stanhope. With a German offensive imminently approaching, the company anxiously awaits their unknown fate."
s8900,Movie,Ong Bak - The Thai Warrior,Prachya Pinkaew,"Tony Jaa, Petchtai Wongkamlao",,,2005,R,105 min,"Action, Adventure, Horror","Tony Jaa, the fighting superstar ""destined for film's martial arts pantheon,"" (New York Daily News) electrifies as a religious young warrior who swears an oath of peace. But when a gangster steals the head of Ong-Bak, his village's deity, Ting heads for Bangkok to get it back. In a film Time Magazine calls ""exhilarating"" with relentless, fever-pitched action free of stunt ..."
